depth,channel,psnr_sensor,psnr_output,ssim_output
0,0,11.620330810546875,23.895816802978516,0.8296883892435707
0,1,13.031852722167969,24.039888381958008,0.6598756172067515
0,2,11.214590072631836,26.232868194580078,0.8360951092326561
0,3,11.317447662353516,24.28008270263672,0.8235125928429559
1,0,12.155003547668457,25.386425018310547,0.841760944275988
1,1,13.260001182556152,24.381797790527344,0.6918688371916527
1,2,11.602413177490234,27.519756317138672,0.8442439119044093
1,3,11.649951934814453,25.217750549316406,0.8296828135788584
2,0,12.44881820678711,28.12877655029297,0.8790837494482923
2,1,13.2991943359375,24.25782012939453,0.6788582995964838
2,2,11.699867248535156,27.658721923828125,0.8478611545206362
2,3,11.735282897949219,28.107486724853516,0.8650317791146408
3,0,12.04140853881836,25.467296600341797,0.8454360635700332
3,1,13.183250427246094,24.405555725097656,0.699044128310646
3,2,11.567012786865234,27.327762603759766,0.8428309415922978
3,3,11.646012306213379,25.101421356201172,0.829330651616004
4,0,11.447724342346191,23.95808219909668,0.8284923283671797
4,1,12.913460731506348,24.194568634033203,0.6798130095056044
4,2,11.177722930908203,26.05665397644043,0.8326310661386142
4,3,11.331076622009277,24.470523834228516,0.826924816606856
